sID,sourceDocumentName,sourceOnlineResourceLinkageURL,sourceOnlineResourceProtocol,sourceOnlineResourceApplicationProfile,sourceOnlineResourceName,sourceOnlineResourceDescription,sourceOnlineResourceFunction,sourceRegistryNumber,sourceAdministrativeDateStamp,sourceAuthoritativeDate,sourceDocumentType,sourceAvailabilityStatus,administrativeSourceType,spatialSourceType,sourceType,sourceRecordation,responsiblePartyContactOnline,responsiblePartyOnlineProtocol,responsiblePartyOnlineApplicationProfile,responsiblePartyOnlineContactName,responsiblePartyOnlineDescription,responsiblePartyOganizationName,responsiblePartyPositionName,responsiblePartyContactPhone,responsiblePartyRole,responsiblePartyContactAddressCountry,responsiblePartyContactAddressDeliveryPoint,responsiblePartyContactAddressCity,responsiblePartyContactElectronicMailAddress,responsiblePartyContactAddressAdministrativeArea,responsiblePartyContactAddressPostalCode
TREATY_MYS_TS_1970,Treaty Between The Republic Of Indonesia And Malaysia On DetermIDNtion Of Boundary Lines Of Territorial Waters Of The Two Nations At The Strait Of Malacca,https://maritimeindex.org/wp-content/uploads/2022/01/ENG-treaty-between-the-republic-of-indonesia-and-malaysia-relating-the-delimitation-of-the-territorial-seas-of-the-two-countries-in-the-straits-of-malacca-1970.pdf,HTTPS,"HTML, PDF",Treaty Indonesia-Malaysia of Territorial Sea 1970,"Bilateral agreement establishing the territorial sea boundaries between Indonesia and Malaysia in the Malacca Strait. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.","information, download",Treaty Indonesia-Malaysia of Territorial Sea 1970,2026-04-24,,Treaty,docAvailable,internationalAgreement,relativeMeasurement,Treaty,,https://maritimeindex.org,HTTPS,HTML,Asian Maritime Index,information,Asian Maritime Index,Data provider,,Distributor,International,"Maritime Security Lab, Tokyo International University Room 1706, 4-42-31 Higashi-Ikebukuro, Toshima Ward",Tokyo,,Tokyo,170-0013
IDN_SGP_TS_1973,Undang-undang (UU) Nomor 7 Tahun 1973 tentang Perjanjian antara Republik Indonesia dan Republik Singapura Mengenai Penetapan Garis Batas Laut Wilayah Kedua Negara di Selat Singapura,https://peraturan.bpk.go.id/Details/47436/uu-no-7-tahun-1973,HTTPS,"HTML, PDF",UU Nomor 7 Tahun 1973,Ratification of the bilateral agreement on the delimitation of the territorial sea boundaries between Indonesia and Singapore in the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 7 Tahun 1973,2026-04-24,1973-12-08,Law,docAvailable,domesticLegislativeInstrument,,Legislation,1973-12-08,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_SGP_TS_1973,"Treaty between the Republic of Indonesia and the Republic of Singapore relating to the delimitation of the territorial seas of the two countries in the Strait of Singapore, 25 May 1973 ",https://maritimeindex.org/wp-content/uploads/2021/12/INDONE3.pdf,HTTPS,"HTML, PDF",INDONE3,"Bilateral agreement for the delimitation of the territorial sea boundaries between Indonesia and Singapore based on the 1973 agreement. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.","information, download",45144,2026-04-24,1974-08-29,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,2008-08-05,https://maritimeindex.org,HTTPS,HTML,Asian Maritime Index,information,Asian Maritime Index,Data provider,,Distributor,International,"Maritime Security Lab, Tokyo International University Room 1706, 4-42-31 Higashi-Ikebukuro, Toshima Ward",Tokyo,,Tokyo,170-0013
IDN_SGP_TS_W_2010,"Undang-undang (UU) Nomor 4 Tahun 2010 tentang Pengesahan Perjanjian antara Republik Indonesia dan Republik Singapura tentang Penetapan Garis Batas Laut Wilayah Kedua Negara Di Bagian Barat Selat Singapura, 2009 (Treaty Between The Republic of Indonesia and The Republic of Singapore Relating to The Delimitation of The Territorial Seas of The Two Countries In The Western Part of The Strait of Singapore, 2009)",https://peraturan.bpk.go.id/Details/38539/uu-no-4-tahun-2010,HTTPS,"HTML, PDF",UU Nomor 4 Tahun 2010,Ratification of the agreement on the delimitation of the territorial sea boundaries in the western part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 4 Tahun 2010,2026-04-24,2010-06-22,Law,docAvailable,domesticLegislativeInstrument,,Legislation,2010-06-22,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_SGP_TS_W_2009,Treaty Between The Republic of Indonesia and The Republic of Singapore Relating to The Delimitation of The Territorial Seas of The Two Countries In The Western Part of The Strait of Singapore,https://maritimeindex.org/wp-content/uploads/2021/12/IN3F941.pdf,HTTPS,"HTML, PDF",IN3F941,"Agreement on the delimitation of the territorial sea boundaries in the western part of the Singapore Strait.The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.","information, download",48026,2026-04-24,2009-03-10,Treaty,docAvailable,internationalAgreement,relativeMeasurement,Treaty,2010-12-16,https://maritimeindex.org,HTTPS,HTML,Asian Maritime Index,information,Asian Maritime Index,Data provider,,Distributor,International,"Maritime Security Lab, Tokyo International University Room 1706, 4-42-31 Higashi-Ikebukuro, Toshima Ward",Tokyo,,Tokyo,170-0013
IDN_SGP_TS_E_2017,"Undang-undang (UU) Nomor 1 Tahun 2017 tentang Pengesahan Perjanjian antara Republik Indonesia dan Republik Singapura tentang Penetapan Garis Batas Laut Wilayah Kedua Negara di Bagian Timur Selat Singapura, 2014 (Treaty Between The Republic of Singapore Relating to The Delimtation of The Territorial Seas of The Two Contries in The Eastern Part of The Strait of Singapore 2014)",https://peraturan.bpk.go.id/Details/11963/uu-no-1-tahun-2017,HTTPS,"HTML, PDF",UU Nomor 1 Tahun 2017,Ratification of the agreement on the delimitation of the territorial sea boundaries in the eastern part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 1 Tahun 2017,2026-04-24,2017-01-12,Law,docAvailable,domesticLegislativeInstrument,,Legislation,2017-01-12,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
ANNEX_IDN_SGP_TS_E_2017,"Lampiran undang-undang (UU) Nomor 1 Tahun 2017 tentang Pengesahan Perjanjian antara Republik Indonesia dan Republik Singapura tentang Penetapan Garis Batas Laut Wilayah Kedua Negara di Bagian Timur Selat Singapura, 2014 (Treaty Between The Republic of Singapore Relating to The Delimtation of The Territorial Seas of The Two Contries in The Eastern Part of The Strait of Singapore 2014)",https://peraturan.bpk.go.id/Details/11963/uu-no-1-tahun-2017,HTTPS,"HTML, PDF",UU Nomor 1 Tahun 2017 - Lampiran,Annex of ratification of the agreement on the delimitation of the territorial sea boundaries in the eastern part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 1 Tahun 2018,2026-04-25,2017-01-12,Law,docAvailable,domesticLegislativeInstrument,hydrographicChart,Legislation,2017-01-12,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-3845628,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_SGP_TS_E_2014,Treaty between the Republic of Singapore and the Republic of Indonesia Relating to the Delimitation of the Territorial Seas of the Two Countries in the Eastern Part of the Strait of Singapore,https://treaties.un.org/Pages/showDetails.aspx?objid=08000002804cce54,HTTPS,"HTML, PDF",volume-3202-I-54672,Agreement on the delimitation of the territorial sea boundaries in the eastern part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,"information, download",54672,2026-04-24,2017-02-10,Treaty,docAvailable,internationalAgreement,hydrographicChart,Treaty,2017-09-25,https://treaties.un.org,HTTPS,HTML,United Nation Treaty Collection,information,United Nations,Treaty Section - Office of Legal Affairs,,Custodian,International,2 UN Plaza - 323 E 44th Street Room DC2-0501,New York,treatysection@un.org,New York,10017
IDN_AUS_CS_1971,"Keputusan Presiden (Keppres) Nomor 42 Tahun 1971 tentang Mengesahkan ""Persetujuan Antara Republik Indonesia dan Pemerintah Commonwealth Australia Tentang Penetapan Batas-Batas Dasar Laut Tertentu (Agreement Between The Government Of The Republic Of Indonesia and The Government of The Commonwealth of Australia)",https://peraturan.bpk.go.id/Details/77979/keppres-no-42-tahun-1971,HTTPS,"HTML, PDF",Kep.Pres No. 42 Tahun 1971,Ratification of the agreement on the delimitation of the seabed boundaries between Indonesia and Australia. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 42 Tahun 1971,2026-04-24,1971-07-01,Presidential Decree,docAvailable,domesticLegislativeInstrument,,Legislation,1971-07-01,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_AUS_CS_1971,Agreement between the Government of the Commonwealth of Australia and the Government of the Republic of Indonesia Establishing Certain Seabed Boundaries (18 May 1971),https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1971SB.pdf,HTTPS,"HTML, PDF",AUS-IDN1971SB,Agreement on the delimitation of the seabed boundaries between Indonesia and Australia. All information is presented in accordance with the availability of verifiable sources.,"information, download",14122,2026-04-24,1973-11-08,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1975-08-07,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
TREATY_AUS_CS_1972,"Agreement establishing certain seabed boundaries in the area of the Timor and Arafura seas, supplementary to the Agreement of 18 May 1971 (with chart). Signed at Jakarta on 9 October 1972",https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1972TA.pdf,HTTPS,"HTML, PDF",AUS-IDN1972TA,"Agreement establishing certain seabed boundaries in the area of the Timor and Arafura seas, supplementary to the Agreement of 18 May 1971 (with chart). All information is presented in accordance with the availabiity of verifiable sources.","information, download",14123,2026-05-08,1973-11-08,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1975-08-07,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
IDN_AUS_CS_1972,"Keputusan Presiden (Keppres) Nomor 66 Tahun 1972 tentang Pengesahan ""Persetujuan Antara Pemerintah Republik Indonesia dan Pemerintah Commonwealth Australia Tentang Penetapan Batas-Batas Dasar Laut Tertentu di Laut Timor dan Laut Arafura""",https://peraturan.bpk.go.id/Details/78274/keppres-no-66-tahun-1972,HTTPS,"HTML, PDF",Kep.Pres No. 66 Tahun 1972,Ratification of the supplementary agreement on the delimitation of the seabed boundaries in the Timor and Arafura Seas. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 66 Tahun 1972,2026-04-24,1972-12-04,Presidential Decree,docAvailable,domesticLegislativeInstrument,Legal,Legislation,1972-12-04,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
ANNEX_IDN_AUS_CS_1972,"Lampiran Keputusan Presiden (Keppres) Nomor 66 Tahun 1972 tentang Pengesahan ""Persetujuan Antara Pemerintah Republik Indonesia dan Pemerintah Commonwealth Australia Tentang Penetapan Batas-Batas Dasar Laut Tertentu di Laut Timor dan Laut Arafura""",https://peraturan.bpk.go.id/Details/78274/keppres-no-66-tahun-1972,HTTPS,"HTML, PDF",Keppres Nomor 66 Tahun 1972 - Lampiran,Annex of ratification of the supplementary agreement on the delimitation of the seabed boundaries in the Timor and Arafura Seas. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres Nomor 66 Tahun 1972 - Lampiran,2026-04-24,1972-12-04,Presidential Decree,docAvailable,domesticLegislativeInstrument,relativeMeasurement,Legislation,1972-12-04,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
IDN_AUS_CS_1973,Undang-Undang Republik Indonesia Nomor 6 Tahun 1973 Tentang Perjanjian Antara Indonesia dengan Australia Mengenai Garis-Garis Batas Tertentu Antara Indonesia dan Papua New Guinea,https://peraturan.bpk.go.id/Details/47434/uu-no-6-tahun-1973,HTTPS,"HTML, PDF",UU Nomor 6 Tahun 1973,Ratification of the agreement between Indonesia and Australia concerning Certain Boundaries between Indonesia and Papua New Guinea for the Continental Shelf south of Irian. All information is presented in accordance with the availability of verifiable sources.,"information, download",UU No. 6 Tahun 1973,2026-04-24,1973-12-08,Law,docAvailable,domesticLegislativeInstrument,,Legislation,1973-12-08,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
TREATY_AUS_CS_1973,Agreement concerning certain boundaries between Papua New Guinea and Indonesia (12 Feb 1973),https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1973PNG.pdf,HTTPS,"HTML, PDF",AUS-IDN1973PNG,Agreement between Indonesia and Australia concerning Certain Boundaries between Indonesia and Papua New Guinea for the Continental Shelf south of Irian. All information is presented in accordance with the availability of verifiable sources.,"information, download",14124,2026-04-24,1973-11-26,Agreement,docAvailable,internationalAgreement,relativeMeasurement,Treaty,1975-08-07,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
IDN_AUS_FISHERIES_1993,Keputusan Presiden (Keppres) Nomor 37 Tahun 1993 tentang Pengesahan Agreement Between The Government Of The Republic Of Indonesia And The Government Of Australia Relating To Cooperation In Fisheries,http://peraturan.bpk.go.id/Details/62306/keppres-no-37-tahun-1993,HTTPS,"HTML, PDF",Keputusan_Presiden_no_37 TH 1993,Ratification of the bilateral agreement between Indonesia and Australia relating to cooperation in fisheries. All information is presented in accordance with the availability of verifiable sources.,"information, download",Keppres No. 37 Tahun 1983,2026-05-15,1993-05-15,Law,docAvailable,domesticLegislativeInstrument,,Treaty,1993-05-15,https://peraturan.bpk.go.id/,HTTPS,HTML, JDIH BPK RI,information,Government of the Republic of Indonesia,Sekretariat Negara (State Secretariat),(+62)-21-25549000,Publisher,Indonesia,"Jalan Gatot Subroto, 31",Jakarta Pusat,eppid@bpk.go.id,DKI Jakarta,10210
MOU_AUS_1981,Memorandum Of Understanding RI-Australia Concerning Provisional Fisheries Surveillance and Enforcement Arrangement,https://maritimeindex.org/legal-document/indonesia-australia-memorandum-of-understanding-concerning-the-implementation-of-a-provisional-fisheries-surveillance-and-enforcement-arrangement-timor-sea/,HTTPS,"HTML, PDF",Indonesia-Australia-MOU-1981,"Memorandum of Understanding (MoU) regarding the provisional arrangement for the surveillance and law enforcement of fisheries in the Timor Sea. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.","information, download",MOU 29 October 1981,2026-04-24,,MOU,docAvailable,internationalAgreement,fieldSketch,Treaty,,https://maritimeindex.org,HTTPS,HTML,Asian Maritime Index,information,Asian Maritime Index,Data provider,,Distributor,International,"Maritime Security Lab, Tokyo International University Room 1706, 4-42-31 Higashi-Ikebukuro, Toshima Ward",Tokyo,,Tokyo,170-0013
TREATY_IDN_AUS_EEZ/CS_1997,"Treaty between the Government of Australia and the Government of the Republic of Indonesia establishing an exclusive economic zone boundary and certain seabed boundaries, 14 March 1997",https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1997EEZ.pdf,HTTPS,"HTML, PDF",Treaty 1997,"The Indonesia–Australia EEZ and seabed boundary agreement, including jurisdictional arrangements and marine resource management. All information is presented in accordance with the availability of verifiable sources.","information, download",Treaty 1997,2026-04-24,,Treaty,docAvailable,internationalAgreement,relativeMeasurement,Treaty,,https://www.un.org/depts/los,HTTPS,HTML,United Nations Division for Ocean Affairs and the Law of the Sea (DOALOS),information,United Nations,Secretariat / Legal Affairs Division,(+1)-212-963-1234,Custodian,International,United Nations Headquarters,New York,doalos@un.org,New York,10017
