sourceOnlineResourceID,sourceOnlineResourceLinkageURL,sourceOnlineResourceProtocol,sourceOnlineResourceApplicationProfile,sourceOnlineResourceName,sourceOnlineResourceDescription,sourceOnlineResourceFunction
SOR_TREATY_SGP_TS_E_2014,https://treaties.un.org/Pages/showDetails.aspx?objid=08000002804cce54,HTTPS,HTML,volume-3202-I-54672,Agreement on the delimitation of the territorial sea boundaries in the eastern part of the Singapore Strait. All information is presented in accordance with the availability of verifiable sources.,information
SOR_IDN_AUS_CS_1971,https://peraturan.bpk.go.id/Details/77979/keppres-no-42-tahun-1971,HTTPS,HTML,Kep.Pres No. 42 Tahun 1971,Ratification of the agreement on the delimitation of the seabed boundaries between Indonesia and Australia. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_AUS_CS_1971,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1971SB.pdf,HTTPS,HTML,AUS-IDN1971SB,Agreement on the delimitation of the seabed boundaries between Indonesia and Australia. All information is presented in accordance with the availability of verifiable sources.,download
SOR_TREATY_AUS_CS_1972,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1972TA.pdf,HTTPS,HTML,AUS-IDN1972TA,"Agreement establishing certain seabed boundaries in the area of the Timor and Arafura seas, supplementary to the Agreement of 18 May 1971 (with chart). All information is presented in accordance with the availabiity of verifiable sources.",download
SOR_IDN_AUS_CS_1972,https://peraturan.bpk.go.id/Details/78274/keppres-no-66-tahun-1972,HTTPS,HTML,Kep.Pres No. 66 Tahun 1972,Ratification of the supplementary agreement on the delimitation of the seabed boundaries in the Timor and Arafura Seas. All information is presented in accordance with the availability of verifiable sources.,information
SOR_ANNEX_IDN_AUS_CS_1972,https://peraturan.bpk.go.id/Details/78274/keppres-no-66-tahun-1972,HTTPS,HTML,Keppres Nomor 66 Tahun 1972 - Lampiran,Annex of ratification of the supplementary agreement on the delimitation of the seabed boundaries in the Timor and Arafura Seas. All information is presented in accordance with the availability of verifiable sources.,information
SOR_IDN_AUS_CS_1973,https://peraturan.bpk.go.id/Details/47434/uu-no-6-tahun-1973,HTTPS,HTML,UU Nomor 6 Tahun 1973,Ratification of the agreement between Indonesia and Australia concerning Certain Boundaries between Indonesia and Papua New Guinea for the Continental Shelf south of Irian. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_AUS_CS_1973,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1973PNG.pdf,HTTPS,HTML,AUS-IDN1973PNG,Agreement between Indonesia and Australia concerning Certain Boundaries between Indonesia and Papua New Guinea for the Continental Shelf south of Irian. All information is presented in accordance with the availability of verifiable sources.,download
SOR_IDN_AUS_FISHERIES_1993,http://peraturan.bpk.go.id/Details/62306/keppres-no-37-tahun-1993,HTTPS,HTML,Keputusan_Presiden_no_37 TH 1993,Ratification of the bilateral agreement between Indonesia and Australia relating to cooperation in fisheries. All information is presented in accordance with the availability of verifiable sources.,information
SOR_MOU_AUS_1981,https://maritimeindex.org/legal-document/indonesia-australia-memorandum-of-understanding-concerning-the-implementation-of-a-provisional-fisheries-surveillance-and-enforcement-arrangement-timor-sea/,HTTPS,HTML,Indonesia-Australia-MOU-1981,"Memorandum of Understanding (MoU) regarding the provisional arrangement for the surveillance and law enforcement of fisheries in the Timor Sea. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.",information
SOR_TREATY_IDN_AUS_EEZ/CS_1997,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/AUS-IDN1997EEZ.pdf,HTTPS,HTML,Treaty 1997,"The Indonesia–Australia EEZ and seabed boundary agreement, including jurisdictional arrangements and marine resource management. All information is presented in accordance with the availability of verifiable sources.",download
SOR_IDN_MYS_THA_1972,https://peraturan.bpk.go.id/Details/78187/keppres-no-20-tahun-1972,HTTPS,HTML,Kep.Pres No. 20 Tahun 1972,"Ratification of the trilateral agreement between Indonesia, Malaysia, and Thailand concerning the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait. All information is presented in accordance with the availability of verifiable sources.",information
SOR_TREATY_IDN_MYS_THA_1971,https://maritimeindex.org/wp-content/uploads/2022/01/ENG_Agreement-IDN-Mly-Thl-CSB-NorthSoM.pdf,HTTPS,HTML,ENG_Agreement-IDN-Mly-Thl-CSB-NorthSoM,"Trilateral agreement between Indonesia, Malaysia, and Thailand concerning the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.",download
SOR_IDN_THA_1972,https://peraturan.bpk.go.id/Details/78189/keppres-no-21-tahun-1972,HTTPS,HTML,Keppres No. 21 Tahun 1972,Ratification of the bilateral agreement between Indonesia and Thailand regarding the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait and the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_THA_CS_1971,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/THA-IDN1971CS.PDF,HTTPS,HTML,THA-IDN1971CS,Bilateral agreement between Indonesia and Thailand regarding the delimitation of the continental shelf boundaries in the northern part of the Malacca Strait and the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.,download
SOR_IDN_THA_1977,http://peraturan.bpk.go.id/Details/78691/keppres-no-1-tahun-1977,HTTPS,HTML,Keppres No. 1 Tahun 1977,Ratification of the bilateral agreement between Indonesia and Thailand concerning the delimitation of the seabed boundaries in the Andaman Sea into national law. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_THA_CS_1975,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/THA-IDN1975SB.PDF,HTTPS,HTML,THA-IDN1975SB,Bilateral agreement between Indonesia and Thailand concerning the delimitation of the seabed boundaries in the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.,download
SOR_IDN_IND_1974,https://peraturan.bpk.go.id/Details/78483/keppres-no-51-tahun-1974,HTTPS,HTML,Keppres No. 51 Tahun 1974,Ratification of the bilateral agreement between Indonesia and India concerning the delimitation of the continental shelf boundary in the Indian Ocean. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_IND_CS_1974,https://maritimeindex.org/wp-content/uploads/2021/12/INC03F1.pdf,HTTPS,HTML,INC03F1,"Bilateral agreement between Indonesia and India concerning the delimitation of the continental shelf boundary in the Indian Ocean. The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.",download
SOR_IDN_IND_1977,https://peraturan.bpk.go.id/Details/78734/keppres-no-26-tahun-1977,HTTPS,HTML,Keppres No. 26 Tahun 1977,Ratification of the supplementary agreement concerning the extension and affirmation of the Indonesia–India continental shelf boundaries. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_IND_CS_1977,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/IND-IDN1977CS.PDF,HTTPS,HTML,IND-IDN1977CS,Supplementary agreement concerning the extension and affirmation of the Indonesia–India continental shelf boundaries. All information is presented in accordance with the availability of verifiable sources.,download
SOR_IDN_TRI_1978,https://peraturan.bpk.go.id/Details/78912/keppres-no-24-tahun-1978,HTTPS,HTML,Keppres No. 24 Tahun 1978,"Ratification of the trilateral agreement concerning the trijunction point and the delimitation of the continental shelf boundaries between Indonesia, India, and Thailand in the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.",information
SOR_TREATY_TRI_1978,https://www.un.org/depts/los/LEGISLATIONANDTREATIES/PDFFILES/TREATIES/THA-IND-IDN1978TP.PDF,HTTPS,HTML,THA-IND-IDN1978TP,"Trilateral Agreement on the trijunction point and the continental shelf boundaries of Indonesia, India, and Thailand in the Andaman Sea. All information is presented in accordance with the availability of verifiable sources.",download
SOR_IDN_VNM_2007,https://peraturan.bpk.go.id/Details/39832/uu-no-18-tahun-2007,HTTPS,HTML,UU No. 18 Tahun 2007,Ratification of the bilateral agreement between Indonesia and Vietnam on the delimitation of the continental shelf boundaries in the northern region of the Natuna Islands. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_VNM_CS_2003,https://treaties.un.org/doc/publication/unts/no%20volume/part/i-44165.pdf,HTTPS,HTML,i-44165-pdf,Bilateral agreement between Indonesia and Vietnam on the delimitation of the continental shelf boundaries in the northern region of the Natuna Islands. All information is presented in accordance with the availability of verifiable sources.,download
SOR_IDN_PHL_2014,https://peraturan.bpk.go.id/Details/37641,HTTPS,HTML,UU No. 4 Tahun 2017,Ratification of the bilateral agreement between Indonesia and the Philippines on the delimitation of the Exclusive Economic Zone (EEZ) boundaries. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_PHL_EEZ_2014,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280562a05&clang=_en,HTTPS,HTML,I-55946-0800000280562a05,Bilateral agreement between Indonesia and the Philippines on the delimitation of the Zona Ekonomi Eksklusif (Exclusive Economic Zone/EEZ) boundaries. All information is presented in accordance with the availability of verifiable sources.,information
SOR_IDN_PNG_1980,https://peraturan.bpk.go.id/Details/65688/keppres-no-21-tahun-1982,HTTPS,HTML,Keppres No 21 TH 1982,Ratification of the bilateral agreement between Indonesia and Papua New Guinea on the delimitation of the continental shelf boundaries. All information is presented in accordance with the availability of verifiable sources.,information
SOR_TREATY_PNG_1980,https://maritimeindex.org/wp-content/uploads/2021/12/Indonesia-Papua-New-Guinea-agreement-concerning-the-maritime-boundary-between-the-two-countries-and-cooperation-on-related-matters-Arafura-Sea.pdf,HTTPS,HTML,Indonesia-Papua-New-Guinea-agreement-concerning-the-maritime-boundary-between-the-two-countries-and-cooperation-on-related-matters-Arafura-Sea,"Bilateral agreement between Indonesia and Papua New Guinea on the delimitation of the continental shelf boundaries.The original document is unavailable; however, additional information regarding the agreement was obtained from Asian Maritime Index website as a supporting source. All information is presented in accordance with the availability of verifiable sources.",download
SOR_PP36_2002,https://peraturan.bpk.go.id/Details/52445/pp-no-36-tahun-2002,HTTPS,HTML,PP No.36 TH 2002,Peraturan Pemerintah (Government Regulation) regulating the innocent passage regime for foreign vessels in Indonesian waters. All information is presented in accordance with the availability of verifiable sources.,information
SOR_PP37_2002,https://peraturan.bpk.go.id/Details/52448,HTTPS,HTML,PP No.37 TH 2002,Peraturan Pemerintah (Government Regulation) regarding the procedures for Archipelagic Sea Lane Passage (ASLP/ALKI) for foreign ships and aircraft. All information is presented in accordance with the availability of verifiable sources.,information
SOR_CLCS_SUM_2008,https://www.un.org/depts/los/clcs_new/submissions_files/IDN08/Summary%20Recommendations%20for%20Indonesia.pdf,HTTPS,HTML,Summary%20Recommendations%20for%20Indonesia,"Recommendations of the United Nations Commission on the Limits of the Continental Shelf (CLCS) regarding Indonesia's submission on the continental shelf beyond 200 nautical miles northwest of Sumatra. CLCS. The document provides technical recommendations, fixed point coordinates, and construction principles for delineating the outer limits of the continental shelf beyond 200 nautical miles based on Article 76 of UNCLOS. All information is presented in accordance with the availability of verifiable sources.",download
SOR_UU16_2023,https://peraturan.bpk.go.id/Download/305777/UU%20Nomor%2016%20Tahun%202023.pdf,HTTPS,HTML,UU Nomor 16 Tahun 2023,Undang-Undang (Law) regulating the sovereign rights and jurisdiction of Indonesia over the continental shelf in accordance with UNCLOS 1982. All information is presented in accordance with the availability of verifiable sources.,download
SOR_UU43_2008,https://peraturan.bpk.go.id/Details/39738/uu-no-43-tahun-2008,HTTPS,HTML,UU Nomor 43 Tahun 2008,"Undang-Undang (Law) establishing the sovereignty, sovereign rights, and governmental authority over the territory of the Indonesian state. All information is presented in accordance with the availability of verifiable sources.",information
